Model,Metric,Mean,Std
logistic_regression,accuracy,0.8208,0.045
logistic_regression,precision,0.8352,0.045
logistic_regression,recall,0.8,0.058
logistic_regression,f1,0.8166,0.0469
logistic_regression,roc_auc,0.8875,0.038
neural_network,accuracy,0.8097,0.0278
neural_network,precision,0.8156,0.0381
neural_network,recall,0.8028,0.0402
neural_network,f1,0.8083,0.0287
neural_network,roc_auc,0.8789,0.0369
random_forest,accuracy,0.825,0.0466
random_forest,precision,0.8291,0.0435
random_forest,recall,0.8194,0.0727
random_forest,f1,0.823,0.0498
random_forest,roc_auc,0.901,0.0322
svm_linear,accuracy,0.8139,0.044
svm_linear,precision,0.8274,0.046
svm_linear,recall,0.7944,0.0572
svm_linear,f1,0.8098,0.0459
svm_linear,roc_auc,0.8881,0.0439
svm_rbf,accuracy,0.8222,0.0425
svm_rbf,precision,0.8331,0.0384
svm_rbf,recall,0.8056,0.0596
svm_rbf,f1,0.8185,0.0457
svm_rbf,roc_auc,0.8995,0.0424
voting_soft,accuracy,0.8222,0.0434
voting_soft,precision,0.8349,0.0366
voting_soft,recall,0.8028,0.0674
voting_soft,f1,0.8177,0.0481
voting_soft,roc_auc,0.9005,0.0374
voting_hard,accuracy,0.8222,0.0429
voting_hard,precision,0.8513,0.039
voting_hard,recall,0.7806,0.0651
voting_hard,f1,0.8135,0.0479
bagging_rf,accuracy,0.8264,0.0445
bagging_rf,precision,0.8281,0.0434
bagging_rf,recall,0.825,0.067
bagging_rf,f1,0.8254,0.0463
bagging_rf,roc_auc,0.9086,0.0331
stacking,accuracy,0.8264,0.0427
stacking,precision,0.8404,0.0354
stacking,recall,0.8056,0.0669
stacking,f1,0.8216,0.0473
stacking,roc_auc,0.8881,0.0408
rf_optimized,accuracy,0.825,0.0427
rf_optimized,precision,0.8364,0.0381
rf_optimized,recall,0.8083,0.0674
rf_optimized,f1,0.821,0.0467
rf_optimized,roc_auc,0.9071,0.0327
svm_optimized,accuracy,0.8278,0.0384
svm_optimized,precision,0.833,0.0329
svm_optimized,recall,0.8194,0.0573
svm_optimized,f1,0.8256,0.042
svm_optimized,roc_auc,0.8986,0.0422
nn_optimized,accuracy,0.7889,0.0464
nn_optimized,precision,0.8028,0.065
nn_optimized,recall,0.775,0.076
nn_optimized,f1,0.7851,0.0482
nn_optimized,roc_auc,0.8729,0.0476
lr_lasso_rfe,accuracy,0.8181,0.0354
lr_lasso_rfe,precision,0.8359,0.0334
lr_lasso_rfe,recall,0.7917,0.0559
lr_lasso_rfe,f1,0.8124,0.0397
lr_lasso_rfe,roc_auc,0.8891,0.0411
logistic_regression_optimized,accuracy,0.8278,0.0444
logistic_regression_optimized,precision,0.8448,0.038
logistic_regression_optimized,recall,0.8028,0.0663
logistic_regression_optimized,f1,0.8224,0.0485
logistic_regression_optimized,roc_auc,0.8891,0.0435
nn_optimized,accuracy,0.7889,0.0464
nn_optimized,precision,0.8028,0.065
nn_optimized,recall,0.775,0.076
nn_optimized,f1,0.7851,0.0482
nn_optimized,roc_auc,0.8729,0.0476
lr_lasso_rfe,accuracy,0.8181,0.0354
lr_lasso_rfe,precision,0.8359,0.0334
lr_lasso_rfe,recall,0.7917,0.0559
lr_lasso_rfe,f1,0.8124,0.0397
lr_lasso_rfe,roc_auc,0.8891,0.0411
